Centroid_Longitude,Centroid_Latitude
178.9667,-17.45000014
177.8167,-17.35000023
179.26667,-17.98333026
178.75,-17.6666614
179.26667,-17.98333258
178.4833,-18.90000497
-16.7833,13.36670008
-16.63333333,13.33333358
-16.53333,13.58333035
-17.05,20.78333003
-16.35,16.41667251
-64.567,18.367
-61.06667,10.41667015
36.5,23.02000002
36.5,23.02000001
36.5,23.02
-117.1166667,32.55000035
-6.35,49.96667026
-2.88333,54.06669815
-1.58333,55.46667088
-60.450001,-51.31700105
-59.182999,-52.90000213
-60.333,-51.63299911
-58.849998,-52.29999961
55.017,-5.883
63.367,-19.75
-2.03333,50.68333162
-1.51667,50.73333361
25.83333333,40.16667954
7.3,1.366666667
10.9,33.86666734
-25.166667,36.91666702
-58.33306,-34.60000013
-65.96667,-47.76667599
134.6,34.08000018
35.1,33.07000002
34.8,32.22000004
21.68333,32.683341
-6.11667,54.05000062
-7.03333,55.08333172
-4.03333,57.85000684
-45,-60.71700176
5.05,43.30000011
121.417,25.16700001
121.85,24.48300008
120.467003,25.04999905
-1.46667,46.21667252
179.104035,-17.10960315
-77.79,7.86006288
3.75,39.11666821
45.25,-12.85000005
10.983333,65.20000057
92.70042,12.24695001
92.84903,13.4009701
57.783,-20.367
147.25,-19.45000666
-16.75,12.66667
113.7333,3.983300009
144.66694,13.30000005
158,-7.750000596
115.74863,-7.135032242
-152.3893,-10.0948
-61.77,12.08000001
-6,53.6
-63.783,-64.80000032
36.2,46.58333115
115.12917,5.223330324
128.13333,-3.283530027
179,-17.61670013
18.63333,42.48333595
-60.883,13.96700001
13.58,32.75000518
-64.45,18.48300001
-64.583,18.35000008
73.5,16.08330045
117.25,7.250000775
133.19911,35.46900337
140.38,35.33000007
50.5,26.20000001
119.63,10.63011459
-58.26667,-34.16667007
-72.3167,21.55
-154.53333,-15.81000014
4.172243052,55.58488168
150.28333,-22.66671747
-154.66667,-16.53300178
0.48333,52.81667011
-2.15,50.65000099
-87.8571433,17.36358687
79.81667,7.7000001
-79.78,-33.68000357
-68.25,12.03300001
-80.25,-4.866680429
100.58,4.380000016
79.63333,10.31667371
103.41667,1.316670008
-61.58333,10.1500002
64,-44.00001917
21.67,32.67001202
42,18.00007778
-17.472,14.65500001
110.6667,2.550000882
22.81667,58.30000215
3.41492,-54.42653443
-61.05,-62.61700698
93,-66.51700013
-45.6,-60.65000001
28.16667,36.93334119
124.76667,1.700001181
-144.57,-15.70000014
92.70722,11.2863901
-57.75,-51.63300002
40.1944,-3.341100606
121.81,14.00000308
112.04,-2.960011362
96.8228,-11.84167001
35.1,33.07000015
-11.21667,6.750004763
93.11944,12.13875004
92.91166,13.00264
92.91014,13.00611
92.8357,13.42986009
92.58459,11.97917
93.05583,13.56237001
-66.38306,-48.38306001
-71.5,-31.88000001
92.94889,13.0225
92.73875,12.28778001
92.67639,12.8757
92.78236,12.92306005
34.95,29.45000121
120.05,23.31667068
-8.816666667,32.90000347
14.31343058,54.47953633
98.58,-1.170004379
13.71138,45.70194016
118.33306,2.141660004
-68.39972,-52.38278087
-64.35,-42.35003253
33.55,34.86667025
118.12,5.830001335
-75.117,23.833
104.15,1.920000008
99.73,6.220000036
99.9,6.320000048
99.83,6.230000029
-74.5,24.083
-61.45,10.56667002
101.85,2.400000001
-60.917,-55.16700009
-60.733002,-51.13299905
100.18,5.450000063
100.57,4.320000014
110.5833,20.00000105
-126,49.2835515
-18.01667,27.81667836
-64.7,32.35
101.23,2.960000016
101.57,3.170000091
111.37,2.250000193
110.7,2.300000002
111.15,1.600000245
164.3,-20.25000009
-64.85,18.30000012
35.75,35.51667038
35.75,35.51660038
-17.90669,28.53118108
-3.786249225,36.73519708
-170.08333,-14.31667001
5.15,43.31667004
94.25611,13.44666009
4.05605,40.08167233
93.05833,12.15000293
15.2,55.31667099
-60.9,14.76700004
-16.4,16.55000245
93.77,6.850000001
86.95,8.950005116
-90.96667,-0.950000008
-105.57,20.70000027
-61.11667,16.15513013
10.9753418,-3.72174812
-65.05,18.08333071
3.746337891,51.78145629
-68.25,12.16667031
92.68111,12.92861001
-25.1,36.95000018
1.45,38.80000009
41.35694,-1.274443933
-77.833,25.467
55.667,-4.206000003
-60.617,-62.95000018
55.867,-6.083
46.333333,-9.400001246
-67.46667,18.81667012
135.7833333,33.4500002
-1.13,35.73000104
158.108333,6.950000066
98.56667,9.833332752
-174.9318,-21.35667009
4.25,43.50001898
1.55,50.23334114
79.82,7.7000001
3.21667,42.03333022
92.84695,12.14958
-83.6,8.866672535
-60.849998,-51.25000002
92.93319,13.02889
92.77556,12.01375001
92.57125,11.94709
124,24.50000003
123.71667,24.30550001
92.9882,12.99792
92.81973,12.93889
92.96958,13.33389
3.21667,42.05000025
92.99139,12.99444
51.3333,24.58330293
118.08333,9.833330007
-77.417,23.66700002
173,1.416670017
117.8,4.100000008
-76.267,23.9
-75.083,23.417
-77.417,25.06700002
7.26667,36.88334699
123.64437,8.580600024
123.17088,9.604430005
-9.93333,-40.31677139
43.76667,-12.16667461
124.17739,10.17142
2.97418,39.29920987
2.72699,39.45917106
1.46667,38.81667047
1.435,38.79250475
2.45896,39.50044004
2.47419,39.46493006
123.7988,9.55249
122.01333,11.40167
21.43333333,62.1833346
8.333333333,36.88333424
179.9667,-16.85000025
124.05611,9.586310002
24.8,64.86666983
9.55,0.616666974
-53.50049973,-33.94421693
14.002593,54.71176165
-60.617,-62.9330002
-178.4833,-18.45000062
-138.83299,-9.983000144
170.217,-72.31700003
-58.95,-62.20000019
55.33333,25.19722016
-61.05,10.38333015
109.95,1.58330035
134.2675,7.17306008
-64.28333333,-42.58300007
-7.91667,51.86667026
7.28333,62.96667027
-73.33333,21.08333668
50.56667,26.18333042
50.83333,25.66667133
-97.31666667,20.96668394
-97.35,21.0000014
121.8,24.75000005
177.36667,-17.81667116
-62.833,-64.16708069
55.26666667,-20.70000005
118.3833,5.750002153
13.117,-8.917000017
-64.15,-65.31700001
3.8667,39.78333276
-71.3,21.133
-70,12.50000001
-65.5625,18.38194178
126.583333,35.55000175
-60.5,-52.233002
7.43333,43.73333
148.2833,-40.16670106
-4.97,48.40001264
-170.7121,-3.721200224
148.3,-41.35000001
-37.299999,-54.03301174
-59.717,-62.36700009
134.26167,7.047820003
63.3,-19.7
-81.8,12.10000041
104.178,2.705220113
166.36667,-22.33333
-64.766667,32.266667
-64.31667,18.71667019
-13.44455,29.37334129
3.1667,43.13001015
5.14613,43.3212852
-56.65,5.890000005
-1.76138,37.23111258
10.25,34.33000215
-58.41667,-51.91667278
-82.7667,14.38331156
86.9,20.65001303
-163.0833,-13.25000002
27.45,42.45000015
104.73474,-0.06666
-159.75,-18.86670004
37.417,19.75000023
93.02722,12.27472001
136.83333,35.06667012
10.62306,57.4862424
117.3833,6.116703485
117.92,5.970000003
10.61667,57.46667032
118.5,4.450000964
118.4833,4.983300511
134.63778,7.325100007
-78.35,27.22000069
-77.393,24.98200018
117.25,6.500004284
-168.1476613,-14.54274642
122.2331,12.64786004
8.25,56.75000001
116.7833,6.550000829
-64.45,18.483
-64.05,-41.01667268
12.91667,55.81667159
-64.533,18.36700001
-64.35,18.517
-64.633,18.45
26,60.43333443
-68.1,-67.56700001
130.4166667,30.4
24.75,65.00000769
127.68333,26.18333002
-59.683,-62.46700008
10.66667,34.66667032
34.85,32.40000013
-58,-34.80000001
-56.65028,-36.43361121
-175.2,-21.16670006
28.4672,43.3561002
-67.2684288,18.35106328
17.79858112,40.71668922
28.61492157,43.76588994
19.033333,74.41722424
25.016667,76.50074105
13.833333,77.85001623
81.733333,6.616667116
-1.466667,35.31666701
54.5,24.25522236
121.43333,25.15000065
125.18333,1.483330044
-170.46694,-14.25130013
116.3333333,6.700000019
101.25,2.950000033
120.88333,22.15000011
-5.35,36.13333001
134.25083,7.285560024
101.25,2.93000003
-14.31667,28.06667409
-171.2,-9.433330088
-10.36666667,6.133334025
-65.53333,-44.93333009
-62.25,16.717
-62.183,16.683
35.76667,34.50000015
63.86667,25.11667125
